pts,elo_i,opp_pts,elo_n
91.00,1460.1313,83,1467.277
83.00,1298.9054,91,1291.7598
52.00,1227.9174,61,1221.7498
61.00,1239.26,52,1245.4276
71.00,1349.1321,66,1354.254
66.00,1369.3383,71,1364.2163
67.00,1174.4745,69,1171.1055
69.00,1364.2163,67,1367.5853
59.00,1222.6729,83,1219.1423
83.00,1467.277,59,1470.8075
96.00,1354.254,76,1372.9569
76.00,1291.7598,96,1273.0569
60.00,1300.8777,83,1284.1725
83.00,1221.7498,60,1238.455
72.00,1392.4084,68,1397.6844
68.00,1245.4276,72,1240.1516
84.00,1470.8075,60,1482.8972
60.00,1264.8821,84,1252.7924
75.00,1367.5853,65,1374.6681
65.00,1372.9569,75,1365.8741
74.00,1273.0569,53,1289.8831
53.00,1171.1055,74,1154.2793
65.00,1284.1725,73,1270.3633
73.00,1252.7924,65,1266.6016
62.00,1289.8831,69,1282.3534
69.00,1219.1423,62,1226.672
77.00,1238.455,69,1248.7762
69.00,1374.6681,77,1364.3468
48.00,1248.7762,63,1240.4922
63.00,1266.6016,48,1274.8856
80.00,1270.3633,74,1274.8582
74.00,1240.1516,80,1235.6567
52.00,1226.672,75,1223.4663
75.00,1482.8972,52,1486.1029
86.00,1365.8741,98,1359.1602
98.00,1397.6844,86,1404.3984
69.00,1364.3468,72,1359.121
72.00,1282.3534,69,1287.5792
66.00,1240.4922,76,1236.5841
76.00,1359.121,66,1363.0291
66.00,1154.2793,69,1151.3198
69.00,1404.3984,66,1407.3579
70.00,1274.8582,71,1273.0466
71.00,1359.1602,70,1360.9717
82.00,1287.5792,76,1292.4088
76.00,1273.0466,82,1268.217
60.00,1151.3198,63,1145.4227
63.00,1236.5841,60,1242.4812
67.00,1235.6567,99,1231.4539
99.00,1486.1029,67,1490.3058
74.00,1223.4663,65,1230.1863
65.00,1231.4539,74,1224.7339
71.00,1145.4227,72,1144.7286
72.00,1407.3579,71,1408.052
59.00,1363.0291,61,1354.5304
61.00,1274.8856,59,1283.3843
86.00,1490.3058,70,1497.8296
70.00,1242.4812,86,1234.9574
67.00,1230.1863,65,1233.4753
65.00,1234.9574,67,1231.6683
81.00,1268.217,107,1261.5695
107.00,1408.052,81,1414.6996
64.00,1283.3843,61,1286.2252
61.00,1224.7339,64,1221.8929
73.00,1360.9717,74,1359.5875
74.00,1497.8296,73,1499.2137
107.00,1414.6996,78,1434.3163
78.00,1292.4088,107,1272.7921
87.00,1261.5695,70,1280.2823
70.00,1233.4753,87,1214.7625
78.00,1272.7921,72,1275.5651
72.00,1144.7286,78,1141.9557
77.00,1354.5304,80,1349.8231
80.00,1499.2137,77,1503.921
71.00,1359.5875,79,1349.5562
79.00,1231.6683,71,1241.6997
57.00,1241.6997,69,1232.9845
69.00,1214.7625,57,1223.4777
89.00,1275.5651,81,1286.2437
81.00,1221.8929,89,1211.2144
69.00,1434.3163,86,1417.9938
86.00,1503.921,69,1520.2435
74.00,1349.5562,78,1344.0581
78.00,1286.2252,74,1291.7233
81.00,1349.8231,57,1356.561
57.00,1223.4777,81,1216.7397
71.00,1280.2823,64,1284.7959
64.00,1232.9845,71,1228.4709
67.00,1356.561,70,1353.7579
70.00,1417.9938,67,1420.7969
56.00,1344.0581,60,1338.6482
60.00,1284.7959,56,1290.2058
78.00,1520.2435,63,1523.0393
63.00,1291.7233,78,1288.9275
81.00,1288.9275,69,1304.991
69.00,1286.2437,81,1270.1802
61.00,1211.2144,67,1204.6473
67.00,1353.7579,61,1360.325
67.00,1270.1802,58,1281.6375
58.00,1216.7397,67,1205.2825
59.00,1204.6473,68,1196.0957
68.00,1338.6482,59,1347.1998
70.00,1141.9557,64,1155.5035
64.00,1228.4709,70,1214.9231
57.00,1420.7969,65,1403.7662
65.00,1304.991,57,1322.0216
79.00,1347.1998,54,1360.4539
54.00,1155.5035,79,1142.2495
96.00,1523.0393,95,1523.8585
95.00,1290.2058,96,1289.3866
75.00,1196.0957,77,1194.6653
77.00,1360.325,75,1361.7554
73.00,1281.6375,76,1278.0375
76.00,1289.3866,73,1292.9866
49.00,1322.0216,51,1319.3185
51.00,1360.4539,49,1363.157
83.00,1214.9231,99,1205.0825
99.00,1403.7662,83,1413.6068
58.00,1413.6068,67,1394.5332
67.00,1278.0375,58,1297.1111
85.00,1194.6653,65,1203.2419
65.00,1142.2495,85,1133.6729
82.00,1292.9866,103,1274.0464
103.00,1361.7554,82,1380.6956
63.00,1523.8585,68,1507.9979
68.00,1319.3185,63,1335.1791
69.00,1297.1111,63,1300.4148
63.00,1203.2419,69,1199.9382
40.00,1205.0825,60,1200.0703
60.00,1363.157,40,1368.1692
80.00,1394.5332,69,1402.2272
69.00,1205.2825,80,1197.5885
65.00,1335.1791,51,1343.6949
51.00,1133.6729,65,1125.157
72.00,1300.4148,64,1304.1222
